plotID,timestamp,datetime,P_RT_NRT,P_RT_NRT_01,P_RT_NRT_02,rH_200,Ta_200,Ta_200_max,Ta_200_min
AEG01,60792480,2015-08-01T00:00,90.52,NA,NA,80.09,17.78,33.20,4.90
AEG01,60837120,2015-09-01T00:00,49.06,NA,NA,84.89,10.69,24.55,0.01
AEG01,60880320,2015-10-01T00:00,26.80,NA,NA,92.81,7.02,20.28,-2.22
AEG01,60924960,2015-11-01T00:00,73.12,NA,NA,87.61,5.06,18.31,-11.02
AEG01,60968160,2015-12-01T00:00,36.28,NA,NA,96.37,1.88,12.87,-7.58
AEG02,57332160,2009-01-01T00:00,NA,NA,NA,89.39,-3.50,6.88,-14.70
AEG02,57376800,2009-02-01T00:00,NA,NA,NA,88.09,-1.37,9.00,-16.05
AEG02,57417120,2009-03-01T00:00,NA,NA,NA,85.01,1.91,10.40,-6.14
AEG02,57461760,2009-04-01T00:00,NA,NA,NA,69.16,10.01,20.43,0.39
AEG02,57504960,2009-05-01T00:00,NA,NA,NA,75.07,12.79,28.51,-0.95
AEG02,57549600,2009-06-01T00:00,NA,NA,NA,77.04,13.69,25.77,3.17
AEG02,57592800,2009-07-01T00:00,NA,NA,NA,76.87,16.16,27.45,5.51
AEG02,57637440,2009-08-01T00:00,NA,NA,NA,74.58,17.32,31.54,4.66
AEG02,57682080,2009-09-01T00:00,NA,NA,NA,82.12,13.41,28.48,5.40
AEG02,57725280,2009-10-01T00:00,NA,NA,NA,90.18,6.60,23.22,-3.45
AEG02,57769920,2009-11-01T00:00,NA,NA,NA,89.83,4.94,17.97,-2.28
AEG02,57813120,2009-12-01T00:00,NA,NA,NA,92.68,-1.80,7.19,-22.00
AEG02,57857760,2010-01-01T00:00,NA,NA,NA,96.40,-4.66,4.85,-12.39
AEG02,57902400,2010-02-01T00:00,NA,NA,NA,86.95,-1.54,10.41,-10.92
AEG02,57942720,2010-03-01T00:00,NA,NA,NA,76.13,2.23,18.63,-11.39
AEG02,57987360,2010-04-01T00:00,NA,NA,NA,67.43,7.63,23.89,-4.77
AEG02,58030560,2010-05-01T00:00,NA,NA,NA,89.88,8.88,23.38,0.00
AEG02,58075200,2010-06-01T00:00,NA,NA,NA,79.21,15.00,28.44,4.26
AEG02,58118400,2010-07-01T00:00,NA,NA,NA,76.05,18.18,31.86,7.26
AEG02,58163040,2010-08-01T00:00,NA,NA,NA,87.66,14.61,27.28,4.84
AEG02,58207680,2010-09-01T00:00,NA,NA,NA,87.27,10.60,22.44,-0.08
AEG02,58250880,2010-10-01T00:00,NA,NA,NA,88.04,6.84,19.77,-4.74
AEG02,58295520,2010-11-01T00:00,NA,NA,NA,94.85,2.93,18.65,-9.53
AEG02,58338720,2010-12-01T00:00,NA,NA,NA,97.11,-3.61,7.07,-15.47
AEG02,58383360,2011-01-01T00:00,NA,NA,NA,96.44,-1.38,12.16,-13.17
AEG02,58428000,2011-02-01T00:00,NA,NA,NA,90.63,0.17,14.53,-13.42
AEG02,58468320,2011-03-01T00:00,NA,NA,NA,70.98,4.57,16.84,-7.00
AEG02,58512960,2011-04-01T00:00,NA,NA,NA,62.86,10.68,22.38,-1.45
AEG02,58556160,2011-05-01T00:00,NA,NA,NA,66.27,12.82,26.86,-1.37
AEG02,58600800,2011-06-01T00:00,NA,NA,NA,81.53,14.67,30.10,5.35
AEG02,58644000,2011-07-01T00:00,NA,NA,NA,81.75,14.08,27.82,3.47
AEG02,58688640,2011-08-01T00:00,NA,NA,NA,80.56,16.89,31.46,6.31
AEG02,58733280,2011-09-01T00:00,59.82,NA,NA,84.93,14.26,26.45,4.34
AEG02,58776480,2011-10-01T00:00,NA,NA,NA,86.97,7.75,23.73,-2.91
AEG02,58821120,2011-11-01T00:00,NA,NA,NA,94.09,3.06,18.58,-5.71
AEG02,58864320,2011-12-01T00:00,NA,NA,NA,95.13,1.38,11.11,-7.31
AEG02,58908960,2012-01-01T00:00,NA,NA,NA,92.75,-0.28,7.91,-9.61
AEG02,58953600,2012-02-01T00:00,NA,NA,NA,80.58,-5.37,10.83,-18.76
AEG02,58995360,2012-03-01T00:00,24.22,NA,NA,72.05,6.27,19.68,-4.44
AEG02,59040000,2012-04-01T00:00,58.03,NA,NA,73.29,6.78,27.24,-3.47
AEG02,59083200,2012-05-01T00:00,38.85,NA,NA,67.87,13.23,28.00,-1.05
AEG02,59127840,2012-06-01T00:00,117.74,NA,NA,77.19,15.59,30.35,4.47
AEG02,59171040,2012-07-01T00:00,113.05,NA,NA,78.99,16.11,31.38,6.59
AEG02,59215680,2012-08-01T00:00,108.59,NA,NA,73.35,17.88,31.62,7.17
AEG02,59260320,2012-09-01T00:00,54.89,NA,NA,81.52,12.77,28.13,1.14
AEG02,59303520,2012-10-01T00:00,58.99,NA,NA,89.71,7.87,24.15,-6.58
AEG02,59348160,2012-11-01T00:00,88.17,NA,NA,95.74,3.88,14.34,-7.93
AEG02,59391360,2012-12-01T00:00,103.25,NA,NA,93.58,-0.10,13.23,-13.53
AEG02,59436000,2013-01-01T00:00,37.62,NA,NA,96.15,-1.10,10.35,-8.52
AEG02,59480640,2013-02-01T00:00,202.49,NA,NA,93.14,-3.12,6.34,-11.03
AEG02,59520960,2013-03-01T00:00,72.06,NA,NA,83.66,0.45,16.23,-9.11
AEG02,59565600,2013-04-01T00:00,65.10,NA,NA,81.09,7.08,22.40,-5.00
AEG02,59608800,2013-05-01T00:00,147.46,NA,NA,85.87,9.43,20.49,-0.97
AEG02,59653440,2013-06-01T00:00,NA,NA,NA,79.57,14.37,31.31,3.38
AEG02,59696640,2013-07-01T00:00,NA,NA,NA,70.38,18.39,32.36,7.09
AEG02,59741280,2013-08-01T00:00,NA,NA,NA,78.85,16.10,31.41,6.11
AEG02,59785920,2013-09-01T00:00,NA,NA,NA,86.67,12.37,26.36,4.25
AEG02,59829120,2013-10-01T00:00,95.60,NA,NA,89.23,9.46,21.02,0.60
AEG02,59873760,2013-11-01T00:00,91.65,NA,NA,94.85,2.38,13.53,-8.07
AEG02,59916960,2013-12-01T00:00,40.33,NA,NA,90.10,1.13,13.18,-6.98
AEG02,59961600,2014-01-01T00:00,42.98,NA,NA,94.97,1.49,12.13,-4.76
AEG02,60006240,2014-02-01T00:00,27.29,NA,NA,85.44,2.60,11.21,-2.48
AEG02,60046560,2014-03-01T00:00,19.12,NA,NA,70.31,6.52,19.08,-2.91
AEG02,60091200,2014-04-01T00:00,46.39,NA,NA,72.72,9.70,20.80,-2.08
AEG02,60134400,2014-05-01T00:00,68.84,NA,NA,77.48,10.94,25.94,2.29
AEG02,60179040,2014-06-01T00:00,59.56,NA,NA,67.89,15.80,32.50,3.62
AEG02,60222240,2014-07-01T00:00,211.43,NA,NA,80.87,16.89,30.99,6.58
AEG02,60266880,2014-08-01T00:00,109.67,NA,NA,84.69,14.22,25.24,5.58
AEG02,60311520,2014-09-01T00:00,72.29,NA,NA,90.67,13.22,24.07,1.22
AEG02,60354720,2014-10-01T00:00,98.62,NA,NA,92.56,10.71,22.69,2.23
AEG02,60399360,2014-11-01T00:00,63.47,NA,NA,96.11,4.94,18.81,-1.44
AEG02,60442560,2014-12-01T00:00,69.71,NA,NA,93.71,1.13,12.72,-16.13
AEG02,60487200,2015-01-01T00:00,86.46,NA,NA,92.09,0.15,12.53,-6.75
AEG02,60531840,2015-02-01T00:00,32.25,NA,NA,90.52,-2.13,8.25,-9.85
AEG02,60572160,2015-03-01T00:00,53.25,NA,NA,75.28,4.50,16.30,-3.63
AEG02,60616800,2015-04-01T00:00,66.49,NA,NA,66.37,8.16,22.44,-3.16
AEG02,60660000,2015-05-01T00:00,107.12,NA,NA,77.61,12.00,25.39,1.89
AEG02,60704640,2015-06-01T00:00,78.54,NA,NA,79.26,15.58,29.20,5.64
AEG02,60747840,2015-07-01T00:00,21.76,NA,NA,65.04,19.78,33.27,6.08
AEG02,60792480,2015-08-01T00:00,46.89,NA,NA,72.49,18.99,33.60,7.28
AEG02,60837120,2015-09-01T00:00,NA,NA,NA,82.10,11.38,24.15,2.39
AEG02,60880320,2015-10-01T00:00,NA,NA,NA,92.98,7.18,19.65,-2.56
AEG02,60924960,2015-11-01T00:00,53.17,NA,NA,84.06,6.23,18.12,-6.75
AEG02,60968160,2015-12-01T00:00,35.87,NA,NA,93.63,3.81,12.23,-3.57
AEG03,57332160,2009-01-01T00:00,NA,NA,NA,NA,-3.96,6.48,-14.97
AEG03,57376800,2009-02-01T00:00,NA,NA,NA,NA,-1.92,8.80,-14.82
AEG03,57417120,2009-03-01T00:00,NA,NA,NA,NA,1.32,9.60,-5.52
AEG03,57461760,2009-04-01T00:00,NA,NA,NA,NA,10.06,19.07,0.72
AEG03,57504960,2009-05-01T00:00,NA,NA,NA,82.54,12.50,27.47,-0.11
AEG03,57549600,2009-06-01T00:00,NA,NA,NA,84.76,13.29,24.60,4.04
AEG03,57592800,2009-07-01T00:00,NA,NA,NA,80.62,15.96,26.56,5.98
AEG03,57637440,2009-08-01T00:00,NA,NA,NA,76.85,17.05,30.30,4.90
AEG03,57682080,2009-09-01T00:00,NA,NA,NA,83.27,13.21,27.63,5.39
AEG03,57725280,2009-10-01T00:00,NA,NA,NA,91.03,6.46,22.47,-3.92
AEG03,57769920,2009-11-01T00:00,NA,NA,NA,91.85,5.12,17.44,-1.43
