Explo;EP_Plotid;initial_landuse_type;2006;2007;2008;2009;2010;2011;2012;new_landuse_type;notes
ALB;AEG40;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;
ALB;AEG41;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Mown pasture_sheep_fertilised;Meadow_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;
ALB;AEG42;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;
ALB;AEG43;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Pasture_sheep_fertilised;Mown pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Mown pasture_sheep_fertilised;
ALB;AEG44;Pasture_cattle_horse_fertilised;Pasture_cattle_horse_unfertilised;Pasture_cattle_horse_unfertilised;Pasture_cattle_horse_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_fertilised;
ALB;AEG45;Meadow_unfertilised;Meadow_unfertilised;Meadow_unfertilised;Meadow_unfertilised;Meadow_unfertilised;Meadow_unfertilised;Meadow_unfertilised;Meadow_unfertilised;Meadow_unfertilised;
ALB;AEG46;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;
ALB;AEG47;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;
ALB;AEG48;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;
ALB;AEG49;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;Pasture_sheep_unfertilised;
ALB;AEG50;Meadow_unfertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;
HAI;HEG01;Meadow_fertilised;Meadow_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Meadow_fertilised;Meadow_fertilised;Meadow_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;
HAI;HEG02;Meadow_fertilised;Meadow_fertilised;Mown pasture_sheep_fertilised;Meadow_fertilised;Mown pasture_sheep_fertilised;Meadow_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;
HAI;HEG03;Meadow_fertilised;Meadow_fertilised;Mown pasture_sheep_fertilised;Meadow_fertilised;Mown pasture_sheep_fertilised;Meadow_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;Mown pasture_sheep_fertilised;
HAI;HEG04;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_???;Mown pasture_cattle_???;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_fertilised;sometimes no informations about used fertiliser
HAI;HEG05;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;
HAI;HEG06;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_fertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Mown pasture_cattle_fertilised;
HAI;HEG07;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Mown pasture_cattle_unfertilised;
HAI;HEG08;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;
HAI;HEG09;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_cattle_unfertilised;Pasture_cattle_unfertilised;Pasture_cattle_unfertilised;
