plot;Std_procedure(year);Std_procedure(exploratory);G_std;M_std;F_std;LUI
SEG43;separately(2014);global(ALB, HAI, SCH);1,85;0;1,13;1,73
SEG44;separately(2014);global(ALB, HAI, SCH);3,95;0;0,92;2,21
SEG45;separately(2014);global(ALB, HAI, SCH);2,17;0;0;1,47
SEG46;separately(2014);global(ALB, HAI, SCH);3,14;0;0;1,77
SEG47;separately(2014);global(ALB, HAI, SCH);2,54;0;0;1,59
SEG48;separately(2014);global(ALB, HAI, SCH);3,62;0;0;1,9
SEG49;separately(2014);global(ALB, HAI, SCH);2,43;0;0;1,56
SEG50;separately(2014);global(ALB, HAI, SCH);2,3;0;0;1,52
AEG01;separately(2014);global(ALB, HAI, SCH);0;2,71;3,16;2,42
AEG02;separately(2014);global(ALB, HAI, SCH);0;2,71;9,69;3,52
AEG03;separately(2014);global(ALB, HAI, SCH);0,09;1,81;0;1,38
AEG04;separately(2014);global(ALB, HAI, SCH);0,97;0,9;1,29;1,78
AEG05;separately(2014);global(ALB, HAI, SCH);0,94;0,9;2,19;2,01
AEG06;separately(2014);global(ALB, HAI, SCH);2,74;0,9;1,55;2,28
AEG07;separately(2014);global(ALB, HAI, SCH);0,18;0;0;0,42
AEG08;separately(2014);global(ALB, HAI, SCH);0,47;0,9;0;1,17
AEG09;separately(2014);global(ALB, HAI, SCH);0,52;0;0;0,72
AEG10;separately(2014);global(ALB, HAI, SCH);0;0;0;0
AEG11;separately(2014);global(ALB, HAI, SCH);0;3,61;1,36;2,23
AEG12;separately(2014);global(ALB, HAI, SCH);0;2,71;1,55;2,06
AEG13;separately(2014);global(ALB, HAI, SCH);0;2,71;2,84;2,35
AEG14;separately(2014);global(ALB, HAI, SCH);0;1,81;3,68;2,34
AEG15;separately(2014);global(ALB, HAI, SCH);0;2,71;4,57;2,7
AEG16;separately(2014);global(ALB, HAI, SCH);0,95;0,9;0;1,36
AEG17;separately(2014);global(ALB, HAI, SCH);0;1,81;0,88;1,64
AEG18;separately(2014);global(ALB, HAI, SCH);0;2,71;4,11;2,61
AEG19;separately(2014);global(ALB, HAI, SCH);1,35;0;1,55;1,7
AEG20;separately(2014);global(ALB, HAI, SCH);0,94;0;0;0,97
AEG21;separately(2014);global(ALB, HAI, SCH);3,14;0,9;0,64;2,16
AEG22;separately(2014);global(ALB, HAI, SCH);0,29;0,9;1,25;1,56
AEG23;separately(2014);global(ALB, HAI, SCH);0;1,81;0;1,34
AEG24;separately(2014);global(ALB, HAI, SCH);1,17;2,71;3,15;2,65
AEG25;separately(2014);global(ALB, HAI, SCH);0,31;0;0;0,56
AEG26;separately(2014);global(ALB, HAI, SCH);1,7;0;0;1,3
AEG27;separately(2014);global(ALB, HAI, SCH);1,28;0;0;1,13
AEG28;separately(2014);global(ALB, HAI, SCH);1,42;0;0;1,19
AEG29;separately(2014);global(ALB, HAI, SCH);0,71;0,9;0;1,27
AEG30;separately(2014);global(ALB, HAI, SCH);0,82;1,81;0;1,62
AEG31;separately(2014);global(ALB, HAI, SCH);0,79;0,9;0;1,3
AEG32;separately(2014);global(ALB, HAI, SCH);0,63;0;0;0,79
AEG33;separately(2014);global(ALB, HAI, SCH);1,12;0;0;1,06
AEG34;separately(2014);global(ALB, HAI, SCH);1,47;0,9;0;1,54
AEG35;separately(2014);global(ALB, HAI, SCH);0;2,71;3,23;2,44
AEG36;separately(2014);global(ALB, HAI, SCH);0;2,71;3,23;2,44
AEG37;separately(2014);global(ALB, HAI, SCH);0;1,81;1,55;1,83
AEG38;separately(2014);global(ALB, HAI, SCH);0;1,81;0;1,34
AEG39;separately(2014);global(ALB, HAI, SCH);0;1,81;1,55;1,83
AEG40;separately(2014);global(ALB, HAI, SCH);0;1,81;1,16;1,72
AEG42;separately(2014);global(ALB, HAI, SCH);0;2,71;1,88;2,14
AEG43;separately(2014);global(ALB, HAI, SCH);0;1,81;0;1,34
AEG44;separately(2014);global(ALB, HAI, SCH);1,77;0;0;1,33
AEG45;separately(2014);global(ALB, HAI, SCH);0;1,81;0,64;1,56
AEG46;separately(2014);global(ALB, HAI, SCH);2,19;0;0;1,48
AEG47;separately(2014);global(ALB, HAI, SCH);0,7;0;0;0,84
AEG48;separately(2014);global(ALB, HAI, SCH);0,49;0;0;0,7
AEG49;separately(2014);global(ALB, HAI, SCH);1,18;0;0;1,09
AEG50;separately(2014);global(ALB, HAI, SCH);0;1,81;0,32;1,46
